                         basic                         random                        random_glouton                SPT                           LPT                           SRPT                          LRPT                          EST_SPT                       EST_LPT                       EST_SRPT                      EST_LRPT                      descentSolver                 TabouSolver                   
instance size  best      runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        
ft06     6x6     55            4       60   9,1           4999       55   0,0              3       93  69,1              1      108  96,4              0      133 141,8              2      154 180,0              0       74  34,5              0       62  12,7              0       64  16,4              0       63  14,5              0       67  21,8             12       60   9,1        k:87655   4999       55   0,0        
ft10     10x10  930            3     1319  41,8           5001     1183  27,2              2     1829  96,7              2     2569 176,2              0     2860 207,5              0     2657 185,7              4     1289  38,6              0     1412  51,8              4     1415  52,2              4     1790  92,5              0     1581  70,0             18     1116  20,0        k:4569   5001      971   4,4        
ft20     20x5  1165            0     1672  43,5           4999     1461  25,4              2     1901  63,2              0     2765 137,3              4     2603 123,4              0     2986 156,3              4     1955  67,8              0     1723  47,9              4     1880  61,4              4     1891  62,3              0     1877  61,1              4     1604  37,7        k:8297   4999     1189   2,1        
la01     10x5   666            0      858  28,8           4999      682   2,4              1     1052  58,0              1     1464 119,8              0     1996 199,7              0     1964 194,9              0      845  26,9              0      882  32,4              0      861  29,3              0      929  39,5              4      944  41,7              0      858  28,8        k:79860   5000      666   0,0        
la02     10x5   655            0      904  38,0           5002      729  11,3              1     1348 105,8              0     1943 196,6              1     1908 191,3              0     1776 171,1              0      982  49,9              0      859  31,1              0     1023  56,2              0     1038  58,5              0      932  42,3              4      769  17,4        k:68888   5002      655   0,0        
la03     10x5   597            0      775  29,8           4999      655   9,7              0     1038  73,9              0     1053  76,4              0     1211 102,8              0     1660 178,1              0      797  33,5              0      994  66,5              0     1037  73,7              0      753  26,1              4      985  65,0              0      654   9,5        k:64833   5000      606   1,5        
la04     10x5   590            0      854  44,7           5002      631   6,9              0     1228 108,1              0     1491 152,7              0     1687 185,9              0     1677 184,2              0     1000  69,5              0      809  37,1              0      895  51,7              0      994  68,5              0      952  61,4              4      835  41,5        k:71742   5002      595   0,8        
la05     10x5   593            0      629   6,1           4999      593   0,0              0     1027  73,2              0     1521 156,5              1     1597 169,3              0     1654 178,9              1      666  12,3              0      741  25,0              0      811  36,8              0      944  59,2              0      689  16,2              0      593   0,0        k:82915   5002      593   0,0        
la06     15x5   926            0     1015   9,6           4999      935   1,0              2     1665  79,8              0     2372 156,2              0     2511 171,2              0     2788 201,1              0     1151  24,3              0     1471  58,9              0     1474  59,2              4     1347  45,5              0     1085  17,2              0      926   0,0        k:40061   4999      926   0,0        
la07     15x5   890            0     1096  23,1           4999      972   9,2              1     1273  43,0              0     1823 104,8              0     2456 176,0              0     2685 201,7              0     1108  24,5              0     1154  29,7              0     1549  74,0              4     1098  23,4              0     1162  30,6              0     1014  13,9        k:39436   5002      890   0,0        
la08     15x5   863            0     1102  27,7           4999      919   6,5              0     1387  60,7              0     2309 167,6              0     2348 172,1              0     3235 274,9              0     1196  38,6              0     1261  46,1              0     1157  34,1              4     1261  46,1              0     1149  33,1              0      932   8,0        k:42160   5001      863   0,0        
la09     15x5   951            0     1024   7,7           4999      964   1,4              0     1416  48,9              0     2638 177,4              0     2332 145,2              0     3210 237,5              0     1233  29,7              0     1010   6,2              4     1354  42,4              0     1396  46,8              0     1091  14,7              0      960   0,9        k:47712   5002      951   0,0        
la10     15x5   958            0      958   0,0           5001      958   0,0              2     1369  42,9              0     2149 124,3              0     2255 135,4              0     3193 233,3              0     1224  27,8              4     1105  15,3              0     1144  19,4              0      982   2,5              0     1015   5,9              0      958   0,0        k:45550   5000      958   0,0        
la11     20x5  1222            0     1297   6,1           5002     1264   3,4              1     1901  55,6              0     3091 152,9              0     3262 166,9              4     3887 218,1              0     1483  21,4              0     1563  27,9              0     1564  28,0              4     1520  24,4              0     1328   8,7              4     1222   0,0        k:27747   5001     1222   0,0        
la12     20x5  1039            0     1205  16,0           5000     1079   3,8              2     1428  37,4              0     2359 127,0              0     2722 162,0              0     3101 198,5              4     1276  22,8              0     1236  19,0              0     1333  28,3              4     1208  16,3              0     1234  18,8              0     1096   5,5        k:22436   4999     1039   0,0        
la13     20x5  1150            0     1154   0,3           5002     1182   2,8              2     1989  73,0              0     2691 134,0              0     3057 165,8              2     3780 228,7              0     1371  19,2              0     1441  25,3              4     1371  19,2              0     1261   9,7              0     1359  18,2              0     1150   0,0        k:27473   5001     1150   0,0        
la14     20x5  1292            0     1292   0,0           5001     1292   0,0              2     1819  40,8              0     3264 152,6              2     3189 146,8              0     4391 239,9              0     1362   5,4              0     1292   0,0              4     1396   8,0              0     1292   0,0              0     1292   0,0              0     1292   0,0        k:27710   5001     1292   0,0        
la15     20x5  1207            0     1586  31,4           5000     1361  12,8              1     2071  71,6              0     3179 163,4              0     3086 155,7              4     3997 231,2              0     1511  25,2              0     1555  28,8              0     1814  50,3              4     1673  38,6              0     1681  39,3              4     1415  17,2        k:22027   5000     1207   0,0        
